Timestamp,UniqueID,HeadSet,How many Headsets have you tried thus far?,"In the computer generated world I had a sense of ""being there""",Somehow I felt that the virtual world surrounded me.,I felt like I was just perceiving pictures.,(-) I did not feel present in the virtual space.,"I had a sense of acting in the virtual space, rather than operating something outside in real world.",I felt present in the virtual space.,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",I was not aware of my real environment.,I still paid attention to the real environment.,How real did the virtual world seem to you?,How much did your experience in the virtual environment seem consistent with your real world experience ?,The virtual world seemed more realistic than the real world.,Gender
3/8/2025 10:37,8,HP,1,4,5,3,2,5,5,2,4,2,4,3,1,Male
3/8/2025 10:59,8,HTC,2,4,5,2,2,4,5,3,4,2,4,4,1,Male
3/8/2025 11:22,8,Oculus,3,5,5,2,2,4,4,4,2,3,4,4,2,Male
3/8/2025 13:05,9,Oculus,1,2,4,3,2,3,2,4,2,2,2,3,2,Male
3/8/2025 13:24,9,HP,2,1,1,4,2,4,2,5,1,4,2,2,1,Male
3/8/2025 13:44,9,HTC,3,4,1,3,4,4,4,2,2,2,3,2,1,Male
3/12/2025 14:54,10,HTC,1,4,4,3,4,2,4,2,4,2,4,2,2,Male
3/12/2025 15:21,10,Oculus,2,3,3,3,4,4,3,2,4,2,3,2,1,Male
3/12/2025 15:43,10,HP,3,5,5,3,4,4,4,1,5,1,4,4,2,Male
3/3/2025 14:17,11,Oculus,1,3,3,3,3,3,3,4,2,3,3,3,2,Female
3/3/2025 14:39,11,HP,2,4,4,2,2,4,4,2,4,2,4,4,3,Female
3/3/2025 15:01,11,HTC,3,4,4,1,4,4,,1,5,1,4,4,3,Female
2/24/2025 11:34,12,HTC,1,2,3,3,4,4,4,2,2,2,3,2,1,Female
2/24/2025 12:00,12,HP,2,2,4,5,4,5,4,4,2,2,2,1,1,Female
2/24/2025 12:23,12,Oculus,3,3,4,3,4,3,4,4,2,4,3,3,1,Female
3/6/2025 15:51,13,Oculus,1,4,3,2,2,2,3,4,1,4,3,2,1,Female
3/6/2025 16:11,13,HTC,2,4,5,2,5,2,5,1,5,3,4,5,2,Female
3/6/2025 16:31,13,HP,3,3,3,2,4,2,3,3,2,3,4,2,2,Female
3/7/2025 17:49,14,HTC,1,3,4,2,4,3,3,5,1,5,3,3,1,Female
3/7/2025 18:13,14,HP,2,3,3,2,4,4,4,5,1,5,3,3,1,Female
3/7/2025 18:30,14,Oculus,3,1,1,3,2,4,2,5,1,5,1,2,1,Female
3/9/2025 17:54,15,HTC,1,4,3,1,3,4,5,2,4,2,3,5,2,Female
3/9/2025 18:25,15,Oculus,2,3,2,1,4,2,2,4,2,3,3,4,1,Female
3/10/2025 1:23,15,HP,3,4,5,1,4,4,5,3,3,3,3,2,1,Female
3/6/2025 10:56,16,HP,1,5,5,5,5,5,5,2,4,1,5,4,3,Female
3/6/2025 10:59,16,Oculus,2,4,3,4,5,5,5,3,4,2,4,4,2,Female
3/6/2025 11:19,16,HTC,3,4,4,2,4,3,4,2,2,2,4,4,3,Female
3/12/2025 16:42,17,HP,1,5,5,1,5,5,5,5,1,5,5,5,3,Female
3/12/2025 17:01,17,HTC,2,5,5,1,5,5,5,5,5,1,5,5,5,Female
3/12/2025 17:19,17,Oculus,3,5,5,1,5,5,5,1,5,1,5,5,5,Female
3/13/2025 12:59,18,Oculus,1,2,3,1,2,1,2,3,2,4,2,2,2,Female
3/13/2025 13:17,18,HP,2,2,3,1,2,2,3,2,2,2,2,2,3,Female
3/13/2025 13:32,18,HTC,3,3,3,3,2,4,2,3,2,4,2,1,1,Female
3/14/2025 15:55,19,HTC,1,3,2,4,3,4,4,2,4,4,2,3,2,Female
3/14/2025 16:13,19,Oculus,2,5,1,2,4,1,4,5,2,5,4,4,3,Female
3/14/2025 16:32,19,HP,3,5,1,1,5,1,4,1,1,1,4,3,2,Female
3/15/2025 13:03,20,HTC,1,2,2,4,4,5,2,5,1,4,1,1,1,Female
3/15/2025 13:19,20,HP,2,3,2,3,2,5,3,4,2,4,2,1,1,Female
3/15/2025 13:36,20,Oculus,3,4,3,2,2,4,4,4,2,4,3,2,1,Female
3/17/2025 17:24,21,Oculus,1,3,3,4,4,3,3,4,1,4,2,3,1,Female
3/17/2025 17:44,21,HP,2,2,2,5,3,4,3,3,3,3,2,1,1,Female
3/17/2025 18:03,21,HTC,3,3,3,4,3,2,3,2,2,2,3,2,4,Female
3/18/2025 12:45,22,HP,1,3,4,2,3,3,3,3,3,4,2,2,1,Female
3/18/2025 13:10,22,HTC,2,3,3,2,3,4,3,3,3,4,3,3,1,Female
3/18/2025 13:32,22,Oculus,3,3,2,2,2,2,2,4,2,4,2,2,1,Female
3/26/2025 12:09,23,Oculus,1,3,3,1,4,4,4,1,5,1,3,3,1,Female
3/26/2025 12:12,23,HP,2,4,3,1,4,2,4,2,5,1,1,1,1,Female
3/26/2025 12:29,23,HTC,3,4,5,1,5,3,5,1,5,1,4,4,4,Female
