participant_id,unique_id,headset,headsets_tried_before,ipq1_being_there,ipq2_surrounded,ipq3_just_pictures,ipq4_not_present,ipq5_acting,ipq6_felt_present,how_real_1,consistent_experience,how_real_2,vrsuq_1,vrsuq_2,vrsuq_3,vrsuq_4,vrsuq_5,vrsuq_6,vrsuq_7,vrsuq_8,vrsuq_9,sickness_general_discomfort_physical,sickness_fatigue,sickness_headache,sickness_eyestrain,sickness_difficulty_focusing,sickness_increased_salivation,sickness_sweating,sickness_nausea,sickness_difficulty_concentrating,sickness_fullness_of_head,sickness_blurred_vision,sickness_dizzy_eyes_open,sickness_dizzy_eyes_closed,sickness_vertigo_a_sense_of_spinning_experienced_even_when_someone_is_perfectly_still,sickness_stomach_awareness_a_feeling_of_discomfort_that_is_just_short_of_nausea,sickness_burping,ipq_general_presence,ipq_spatial_presence,ipq_realism,vrsuq_usability,simulator_sickness_total,experience_group
8,9,Oculus,1,2,4,3,2,3,2.0,2,3,2,4,2,4,4,3,5.0,4,2.0,5,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2.6666666666666665,3.5,2.3333333333333335,3.6666666666666665,5,novice
8,9,HP,2,1,1,4,2,4,2.0,2,2,2,4,2,4,2,3,4.0,4,2.0,4,1,1,1,2,2,1,1,0,0,2,3,0,0,0,0,0,1.3333333333333333,2.5,2.0,3.2222222222222223,14,intermediate
8,9,HTC,3,4,1,3,4,4,4.0,3,2,3,4,4,4,4,3,4.0,4,4.0,5,1,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,3.0,2.5,2.6666666666666665,4.0,7,experienced
8,10,HTC,1,4,4,3,4,2,4.0,4,2,4,2,3,3,4,4,4.0,5,2.0,4,2,2,2,2,1,1,1,1,1,2,2,2,1,0,1,0,4.0,3.0,3.3333333333333335,3.4444444444444446,21,novice
8,10,Oculus,2,3,3,3,4,4,3.0,3,2,3,4,4,4,4,4,4.0,5,2.0,4,1,1,2,1,0,0,0,2,0,2,1,2,0,0,1,0,3.0,3.5,2.6666666666666665,3.888888888888889,13,intermediate
8,10,HP,3,5,5,3,4,4,4.0,4,4,4,4,4,4,4,4,4.0,5,1.0,2,2,1,2,1,0,0,0,2,0,2,2,3,1,0,2,1,4.666666666666667,4.5,4.0,3.5555555555555554,19,experienced
10,11,Oculus,1,3,3,3,3,3,3.0,3,3,3,4,4,4,4,4,3.0,4,2.0,3,2,2,2,3,2,2,0,2,1,1,1,1,0,1,0,0,3.0,3.0,3.0,3.5555555555555554,20,novice
10,11,HP,2,4,4,2,2,4,4.0,4,4,4,4,4,4,5,5,4.0,4,4.0,4,1,1,1,2,0,1,0,1,0,1,1,1,1,1,0,0,4.0,4.0,4.0,4.222222222222222,12,intermediate
10,11,HTC,3,4,4,1,4,4,,4,4,4,5,5,4,5,5,4.0,4,3.0,3,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,4.0,4.0,4.0,4.222222222222222,10,experienced
11,12,HTC,1,2,3,3,4,4,4.0,3,2,3,4,3,4,4,3,4.0,4,2.0,4,1,3,0,3,2,0,0,0,2,0,3,3,1,1,0,0,3.0,3.5,2.6666666666666665,3.5555555555555554,19,novice
11,12,HP,2,2,4,5,4,5,4.0,2,1,2,4,2,4,4,3,2.0,3,2.0,4,3,3,0,3,2,0,0,0,2,1,2,2,1,0,0,0,3.3333333333333335,4.5,1.6666666666666667,3.111111111111111,19,intermediate
11,12,Oculus,3,3,4,3,4,3,4.0,3,3,3,4,4,3,4,4,4.0,4,2.0,4,1,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,3.6666666666666665,3.5,3.0,3.6666666666666665,8,experienced
11,13,Oculus,1,4,3,2,2,2,3.0,3,2,3,4,3,4,5,5,4.0,4,2.0,5,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,3.3333333333333335,2.5,2.6666666666666665,4.0,6,novice
11,13,HTC,2,4,5,2,5,2,5.0,4,5,4,5,5,5,5,5,4.0,4,4.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,3.5,4.333333333333333,4.555555555555555,1,intermediate
11,13,HP,3,3,3,2,4,2,3.0,4,2,4,3,5,4,5,2,2.0,2,2.0,3,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,3.0,2.5,3.3333333333333335,3.111111111111111,6,experienced
12,14,HTC,1,3,4,2,4,3,3.0,3,3,3,4,3,3,3,4,4.0,4,3.0,3,1,2,0,2,1,0,0,0,0,0,1,0,0,1,0,0,3.3333333333333335,3.5,3.0,3.4444444444444446,8,novice
12,14,HP,2,3,3,2,4,4,4.0,3,3,3,2,3,3,4,4,2.0,2,3.0,3,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3.3333333333333335,3.5,3.0,2.888888888888889,10,intermediate
12,14,Oculus,3,1,1,3,2,4,2.0,1,2,1,4,4,3,4,4,4.0,3,4.0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.3333333333333333,2.5,1.3333333333333333,3.7777777777777777,4,experienced
13,15,HTC,1,4,3,1,3,4,5.0,3,5,3,1,2,5,1,1,4.0,4,1.0,2,2,1,1,3,0,0,0,3,0,2,3,3,0,1,0,0,4.0,3.5,3.6666666666666665,2.3333333333333335,19,novice
13,15,Oculus,2,3,2,1,4,2,2.0,3,4,3,4,4,5,5,5,4.0,3,1.0,4,2,2,3,2,0,0,0,2,0,0,0,2,0,0,0,0,2.3333333333333335,2.0,3.3333333333333335,3.888888888888889,13,intermediate
13,15,HP,3,4,5,1,4,4,5.0,3,2,3,5,4,3,5,5,3.0,3,2.0,5,2,1,2,3,0,0,0,0,0,1,0,2,0,0,0,0,4.666666666666667,4.5,2.6666666666666665,3.888888888888889,11,experienced
14,16,HP,1,5,5,5,5,5,5.0,5,4,5,5,5,4,4,4,4.0,5,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,4.666666666666667,4.333333333333333,0,novice
14,16,Oculus,2,4,3,4,5,5,5.0,4,4,4,5,5,5,5,5,5.0,5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.555555555555555,0,intermediate
14,16,HTC,3,4,4,2,4,3,4.0,4,4,4,5,5,5,5,5,5.0,4,4.0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,3.5,4.0,4.666666666666667,2,experienced
15,17,HP,1,5,5,1,5,5,5.0,5,5,5,5,5,5,5,5,5.0,5,5.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,4.666666666666667,2,novice
15,17,HTC,2,5,5,1,5,5,5.0,5,5,5,5,5,5,5,5,5.0,5,4.0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.0,5.0,5.0,4.555555555555555,4,intermediate
15,17,Oculus,3,5,5,1,5,5,5.0,5,5,5,5,5,5,5,5,5.0,5,5.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,4.888888888888889,1,experienced
16,18,Oculus,1,2,3,1,2,1,2.0,2,2,2,2,3,4,4,3,3.0,2,4.0,2,2,2,2,2,1,0,0,1,1,3,0,0,0,0,0,0,2.3333333333333335,2.0,2.0,3.0,14,novice
16,18,HP,2,2,3,1,2,2,3.0,2,2,2,4,4,4,4,3,4.0,2,1.0,2,1,1,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2.6666666666666665,2.5,2.0,3.111111111111111,19,intermediate
16,18,HTC,3,3,3,3,2,4,2.0,2,1,2,1,2,3,1,1,,1,1.0,1,3,3,3,3,3,0,0,3,3,3,3,3,2,3,3,1,2.6666666666666665,3.5,1.6666666666666667,1.375,39,experienced
17,19,HTC,1,3,2,4,3,4,4.0,2,3,2,3,2,3,4,3,4.0,4,3.0,2,1,1,1,2,2,0,0,0,2,1,2,3,0,0,0,0,3.0,3.0,2.3333333333333335,3.111111111111111,15,novice
17,19,Oculus,2,5,1,2,4,1,4.0,4,4,4,4,4,4,5,5,4.0,5,4.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,1.0,4.0,4.333333333333333,1,intermediate
17,19,HP,3,5,1,1,5,1,4.0,4,3,4,4,4,4,4,3,4.0,4,5.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,1.0,3.6666666666666665,4.111111111111111,1,experienced
18,20,HTC,1,2,2,4,4,5,2.0,1,1,1,1,2,5,3,1,3.0,3,4.0,3,1,1,1,2,2,0,0,0,2,2,2,0,0,1,0,0,2.0,3.5,1.0,2.7777777777777777,14,novice
18,20,HP,2,3,2,3,2,5,3.0,2,1,2,4,4,4,4,4,3.0,3,3.0,4,2,2,2,1,1,0,0,0,0,3,1,1,1,0,0,0,2.6666666666666665,3.5,1.6666666666666667,3.6666666666666665,14,intermediate
18,20,Oculus,3,4,3,2,2,4,4.0,3,2,3,5,4,5,4,4,4.0,4,4.0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.6666666666666665,3.5,2.6666666666666665,4.222222222222222,3,experienced
19,21,Oculus,1,3,3,4,4,3,3.0,2,3,2,5,4,4,4,3,3.0,4,5.0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,2.3333333333333335,4.0,3,novice
19,21,HP,2,2,2,5,3,4,3.0,2,1,2,3,2,3,4,2,3.0,2,4.0,4,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2.3333333333333335,3.0,1.6666666666666667,3.0,7,intermediate
19,21,HTC,3,3,3,4,3,2,3.0,3,2,3,4,4,3,4,4,4.0,4,5.0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,2.5,2.6666666666666665,4.0,3,experienced
20,22,HP,1,3,4,2,3,3,3.0,2,2,2,2,3,1,3,3,4.0,4,2.0,2,2,1,0,1,0,0,3,2,0,3,2,1,1,0,0,0,3.3333333333333335,3.5,2.0,2.6666666666666665,16,novice
20,22,HTC,2,3,3,2,3,4,3.0,3,3,3,2,2,1,2,3,3.0,3,1.0,2,2,2,0,3,2,0,2,0,3,2,3,2,0,1,0,0,3.0,3.5,3.0,2.111111111111111,22,intermediate
20,22,Oculus,3,3,2,2,2,2,2.0,2,2,2,4,4,4,4,4,3.0,3,3.0,3,1,1,0,1,1,0,1,0,1,2,0,0,0,0,0,0,2.3333333333333335,2.0,2.0,3.5555555555555554,8,experienced
21,23,Oculus,1,3,3,1,4,4,4.0,3,3,3,4,4,1,5,4,4.0,4,3.0,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,0,3.3333333333333335,3.5,3.0,3.4444444444444446,27,novice
21,23,HP,2,4,3,1,4,2,4.0,1,1,1,4,4,1,5,4,4.0,3,1.0,1,3,3,3,3,3,2,3,3,3,3,1,2,2,3,3,1,3.6666666666666665,2.5,1.0,3.0,41,intermediate
21,23,HTC,3,4,5,1,5,3,5.0,4,4,4,4,4,2,5,3,3.0,4,4.0,4,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,4.666666666666667,4.0,4.0,3.6666666666666665,22,experienced
